Actinopycnidium caeruleum,Streptomyces humiferus
Actinopycnidium unavailable,Kitasatospora unavailable
Actinosporangium violaceum,Streptomyces paradoxus
Actinosporangium vitaminophilum,Streptomyces vitaminophilus
Actinosporangium unavailable,Kitasatospora unavailable
Actinosynnema pretiosum,Actinosynnema pretiosum
Actinotalea suaedae,Pseudactinotalea suaedae
Adlercreutzia equolifaciens,Adlercreutzia equolifaciens
Advenella kashmirensis,Advenella kashmirensis
Aeromonas aquariorum,Aeromonas dhakensis
Aeromonas culicicola,Aeromonas veronii
Aeromonas finlandiensis,Aeromonas finlandensis
Aeromonas hydrophila,Aeromonas caviae
Aeromonas hydrophila,Aeromonas dhakensis
Aeromonas hydrophila,Aeromonas hydrophila
Aeromonas hydrophila,Vibrio proteolyticus
Aeromonas punctata,Aeromonas caviae
Aeromonas punctata,Aeromonas caviae
Aeromonas punctata,Aeromonas caviae
Aeromonas salmonicida,Aeromonas salmonicida
Aeromonas sharmana,Pseudaeromonas sharmana
Aeromonas trota,Aeromonas enteropelogenes
Aestuariibacter litoralis,Aliiglaciecola litoralis
Aestuariicola saemankumensis,Lutimonas saemankumensis
Aestuariicola unavailable,Lutimonas unavailable
Aestuariivita atlantica,Pseudaestuariivita atlantica
Agrobacterium atlanticum,Ruegeria atlantica
Agrobacterium ferrugineum,Pseudorhodobacter ferrugineus
Agrobacterium gelatinovorum,Thalassobius gelatinovorus
Agrobacterium meteori,Ruegeria atlantica
Agrobacterium rhizogenes,Rhizobium rhizogenes
Agrobacterium stellulatum,Stappia stellulata
Agrobacterium tumefaciens,Agrobacterium radiobacter
Agrobacterium vitis,Allorhizobium vitis
Agrobacterium unavailable,Ensifer unavailable
Agromonas oligotrophica,Bradyrhizobium oligotrophicum
Agromonas unavailable,Bradyrhizobium unavailable
Agromyces cerinus,Agromyces cerinus
Agromyces fucosus,Agromyces fucosus
Agromyces fucosus,Agromyces hippuratus
Ahrensia kieliense,Ahrensia kielensis
Albidoferax ferrireducens,Albidiferax ferrireducens
Albidoferax unavailable,Albidiferax unavailable
Alcaligenes aestus,Halomonas aquamarina
Alcaligenes aquamarinus,Halomonas aquamarina
Alcaligenes cupidus,Halomonas cupida
Alcaligenes defragrans,Castellaniella defragrans
Alcaligenes denitrificans,Achromobacter denitrificans
Alcaligenes denitrificans,Achromobacter xylosoxidans
Alcaligenes denitrificans,Achromobacter denitrificans
Alcaligenes eutrophus,Cupriavidus necator
Alcaligenes faecalis,Alcaligenes faecalis
Alcaligenes faecalis,Halomonas aquamarina
Alcaligenes latus,Azohydromonas lata
Alcaligenes pacificus,Halomonas pacifica
Alcaligenes pacifus,Halomonas pacifica
Alcaligenes paradoxus,Variovorax paradoxus
Alcaligenes piechaudii,Achromobacter piechaudii
Alcaligenes ruhlandii,Achromobacter ruhlandii
Alcaligenes venustus,Halomonas venusta
Alcaligenes xylosoxidans,Achromobacter denitrificans
Alcaligenes xylosoxidans,Achromobacter xylosoxidans
Alcaligenes xylosoxidans,Achromobacter xylosoxidans
Alcalilimnicola unavailable,Alkalilimnicola unavailable
Algibacter aestuarii,Marinivirga aestuarii
